gu,dong,apt_name,deal_date,area_m2,floor,year_built,price_manwon,price_krw
송파구,풍납동,금강캐스빌,2025-10-31,84.06,5.0,2010.0,74500.0,745000000.0
송파구,거여동,거여1단지,2025-10-31,49.8,1.0,1997.0,85000.0,850000000.0
송파구,오금동,송파두산위브,2025-10-31,84.9703,15.0,2019.0,140000.0,1400000000.0
송파구,가락동,가락(1차)쌍용아파트,2025-10-31,59.92,7.0,1997.0,171500.0,1715000000.0
송파구,가락동,대림,2025-10-31,68.78,5.0,1988.0,130000.0,1300000000.0
송파구,가락동,동궁리치웰(102동),2025-10-31,83.9,2.0,2005.0,115000.0,1150000000.0
송파구,방이동,현대홈타운스위트103,2025-10-31,146.25,5.0,2004.0,178000.0,1780000000.0
송파구,잠실동,리센츠,2025-10-31,124.22,25.0,2008.0,420000.0,4200000000.0
송파구,잠실동,트리지움,2025-10-31,84.97,22.0,2007.0,305000.0,3050000000.0
송파구,잠실동,잠실엘스,2025-10-31,84.88,19.0,2008.0,340000.0,3400000000.0
송파구,잠실동,리센츠,2025-10-31,27.68,21.0,2008.0,135000.0,1350000000.0
송파구,장지동,송파더센트레,2025-10-31,51.77,9.0,2013.0,120000.0,1200000000.0
송파구,가락동,헬리오시티,2025-10-31,84.95,25.0,2018.0,303500.0,3035000000.0
송파구,가락동,삼환,2025-10-31,72.7,5.0,1984.0,190000.0,1900000000.0
송파구,오금동,우창,2025-10-31,109.72,2.0,1985.0,143000.0,1430000000.0
송파구,가락동,헬리오시티,2025-10-31,84.95,25.0,2018.0,303500.0,3035000000.0
송파구,신천동,파크리오,2025-10-31,144.77,13.0,2008.0,377000.0,3770000000.0
송파구,거여동,거여1단지,2025-10-31,49.8,9.0,1997.0,96200.0,962000000.0
송파구,잠실동,잠실엘스,2025-10-31,84.8,18.0,2008.0,337000.0,3370000000.0
송파구,잠실동,트리지움,2025-10-31,114.7,9.0,2007.0,380000.0,3800000000.0
송파구,가락동,우성,2025-10-31,43.79,6.0,1986.0,138000.0,1380000000.0
송파구,잠실동,잠실엘스,2025-10-31,84.8,4.0,2008.0,325000.0,3250000000.0
송파구,가락동,성원상떼빌,2025-10-31,108.6,21.0,2006.0,124700.0,1247000000.0
송파구,가락동,가락쌍용(2차),2025-10-31,59.88,11.0,1999.0,140000.0,1400000000.0
송파구,문정동,문정래미안,2025-10-31,150.58,13.0,2004.0,200000.0,2000000000.0
송파구,잠실동,잠실엘스,2025-10-31,84.8,24.0,2008.0,335000.0,3350000000.0
송파구,오금동,우방,2025-10-31,84.95,2.0,2001.0,96500.0,965000000.0
송파구,잠실동,주공아파트 5단지,2025-10-31,76.5,7.0,1978.0,405700.0,4057000000.0
송파구,방이동,올림픽베어스타운1,2025-10-31,84.24,2.0,1996.0,121500.0,1215000000.0
송파구,방이동,올림픽선수기자촌3단지,2025-10-31,100.31,1.0,1988.0,310000.0,3100000000.0
송파구,문정동,문정래미안,2025-10-31,150.58,6.0,2004.0,200500.0,2005000000.0
송파구,문정동,파크하비오,2025-10-30,84.9648,1.0,2016.0,159000.0,1590000000.0
송파구,장지동,위례24단지(꿈에그린),2025-10-30,51.82,14.0,2013.0,139800.0,1398000000.0
송파구,잠실동,잠실엘스,2025-10-30,59.96,8.0,2008.0,302000.0,3020000000.0
송파구,방이동,올림픽베어스타운1,2025-10-30,84.24,19.0,1996.0,145000.0,1450000000.0
송파구,오금동,현대(2-4차),2025-10-30,170.32,7.0,1984.0,186000.0,1860000000.0
송파구,문정동,현대,2025-10-30,71.52,1.0,1991.0,78000.0,780000000.0
송파구,문정동,올림픽훼밀리타운,2025-10-30,136.325,14.0,1988.0,325000.0,3250000000.0
송파구,잠실동,레이크팰리스,2025-10-30,135.82,9.0,2006.0,428000.0,4280000000.0
송파구,잠실동,주공아파트 5단지,2025-10-30,82.51,12.0,1978.0,432500.0,4325000000.0
송파구,장지동,송파파인타운2단지,2025-10-30,84.95,3.0,2008.0,160000.0,1600000000.0
송파구,문정동,건영1,2025-10-30,84.39,5.0,1996.0,152000.0,1520000000.0
송파구,신천동,파크리오,2025-10-30,84.79,16.0,2008.0,300000.0,3000000000.0
송파구,거여동,송파시그니처롯데캐슬,2025-10-30,108.98,10.0,2021.0,199800.0,1998000000.0
송파구,잠실동,잠실엘스,2025-10-30,59.96,25.0,2008.0,300000.0,3000000000.0
송파구,잠실동,잠실엘스,2025-10-30,84.8,16.0,2008.0,338000.0,3380000000.0
송파구,거여동,거여5단지,2025-10-30,59.74,6.0,1997.0,97000.0,970000000.0
송파구,문정동,문정시영,2025-10-30,39.69,2.0,1989.0,79000.0,790000000.0
송파구,오금동,대림,2025-10-30,84.91,6.0,1988.0,215000.0,2150000000.0
송파구,가락동,성원상떼빌,2025-10-30,117.16,3.0,2006.0,118000.0,1180000000.0
송파구,문정동,힐스테이트e편한세상문정,2025-10-30,74.95,9.0,2024.0,189500.0,1895000000.0
송파구,송파동,금강KCC,2025-10-30,58.45,2.0,2003.0,96000.0,960000000.0
송파구,마천동,금호어울림,2025-10-30,84.96,4.0,2006.0,95800.0,958000000.0
송파구,문정동,올림픽훼밀리타운,2025-10-30,158.705,6.0,1988.0,330000.0,3300000000.0
송파구,방이동,트리니엘,2025-10-30,33.3799,2.0,2021.0,44000.0,440000000.0
송파구,가락동,가락우성2,2025-10-30,84.95,12.0,2000.0,109700.0,1097000000.0
송파구,풍납동,동아한가람1,2025-10-30,84.38,6.0,1995.0,115000.0,1150000000.0
송파구,신천동,파크리오,2025-10-30,121.63,23.0,2008.0,358000.0,3580000000.0
송파구,문정동,문정시영,2025-10-30,39.69,13.0,1989.0,81000.0,810000000.0
송파구,거여동,삼호아파트,2025-10-30,84.96,10.0,1999.0,85800.0,858000000.0
송파구,잠실동,주공아파트 5단지,2025-10-29,76.5,7.0,1978.0,396700.0,3967000000.0
송파구,가락동,우성,2025-10-29,109.25,10.0,1986.0,190000.0,1900000000.0
송파구,풍납동,현대리버빌1지구,2025-10-29,43.2,3.0,1999.0,68000.0,680000000.0
송파구,신천동,더샵스타리버,2025-10-29,142.17,29.0,2006.0,217000.0,2170000000.0
송파구,풍납동,현대리버빌1지구,2025-10-29,43.2,15.0,1999.0,74500.0,745000000.0
송파구,풍납동,송파현대힐스테이트,2025-10-29,84.99,8.0,2006.0,138500.0,1385000000.0
송파구,신천동,파크리오,2025-10-29,84.9,25.0,2008.0,288000.0,2880000000.0
송파구,마천동,송파파크데일2단지,2025-10-29,84.86,10.0,2011.0,111300.0,1113000000.0
송파구,가락동,헬리오시티,2025-10-29,84.95,26.0,2018.0,300000.0,3000000000.0
송파구,장지동,위례신도시송파푸르지오,2025-10-29,108.5918,7.0,2015.0,183000.0,1830000000.0
송파구,잠실동,리센츠,2025-10-29,59.99,5.0,2008.0,298000.0,2980000000.0
송파구,오금동,송파레미니스2단지,2025-10-29,59.87,5.0,2018.0,148500.0,1485000000.0
송파구,거여동,거여1단지,2025-10-29,39.6,4.0,1997.0,70000.0,700000000.0
송파구,잠실동,잠실엘스,2025-10-29,84.88,12.0,2008.0,330000.0,3300000000.0
송파구,송파동,송파삼성래미안아파트,2025-10-29,79.7,15.0,2001.0,206000.0,2060000000.0
송파구,가락동,삼환,2025-10-29,121.04,1.0,1984.0,205000.0,2050000000.0
송파구,문정동,올림픽훼밀리타운,2025-10-29,84.751,5.0,1988.0,263000.0,2630000000.0
송파구,풍납동,씨티극동1,2025-10-29,80.15,12.0,1998.0,123000.0,1230000000.0
송파구,문정동,올림픽훼밀리타운,2025-10-29,84.751,10.0,1988.0,265000.0,2650000000.0
