시군구,도로명코드,도로명,영문도로명,읍면동일련번호,시도명,시군구명,읍면동구분,읍면동코드,읍면동명,상위도로코드,상위도로명,폐지구분,변경이력사유,변경이력정보,영문시도명,영문시군구명,영문읍면동명,고시일자,말소일자
11350,1000027,서울외곽순환고속도로,Seouloegwaksunhwan Expressway,0,서울특별시,노원구,2,,,,,0,,,Seoul,Nowon-gu,,20101228.0,
11350,3000001,동일로,Dongil-ro,0,서울특별시,노원구,2,,,,,0,,,Seoul,Nowon-gu,,20090710.0,
11350,3000001,동일로,Dongil-ro,1,서울특별시,노원구,1,103.0,공릉동,,,0,,,Seoul,Nowon-gu,Gongneung-dong,20090710.0,
11350,3000001,동일로,Dongil-ro,2,서울특별시,노원구,1,105.0,상계동,,,0,,,Seoul,Nowon-gu,Sanggye-dong,20090710.0,
11350,3000001,동일로,Dongil-ro,3,서울특별시,노원구,1,106.0,중계동,,,0,,,Seoul,Nowon-gu,Junggye-dong,20090710.0,
11350,3000001,동일로,Dongil-ro,4,서울특별시,노원구,1,104.0,하계동,,,0,,,Seoul,Nowon-gu,Hagye-dong,20111118.0,
11350,3000004,덕릉로,Deongneung-ro,0,서울특별시,노원구,2,,,,,0,,,Seoul,Nowon-gu,,20090710.0,
11350,3000004,덕릉로,Deongneung-ro,1,서울특별시,노원구,1,105.0,상계동,,,0,,,Seoul,Nowon-gu,Sanggye-dong,20090710.0,
11350,3000004,덕릉로,Deongneung-ro,2,서울특별시,노원구,1,106.0,중계동,,,0,,,Seoul,Nowon-gu,Junggye-dong,20090710.0,
11350,3000115,누원로,Nuwon-ro,0,서울특별시,노원구,2,,,,,0,,,Seoul,Nowon-gu,,,
11350,3000115,누원로,Nuwon-ro,1,서울특별시,노원구,1,105.0,상계동,,,0,,,Seoul,Nowon-gu,Sanggye-dong,,
11350,3005046,화랑로,Hwarang-ro,0,서울특별시,노원구,2,,,,,0,,,Seoul,Nowon-gu,,20100520.0,
11350,3005046,화랑로,Hwarang-ro,1,서울특별시,노원구,1,102.0,월계동,,,0,,,Seoul,Nowon-gu,Wolgye-dong,20100520.0,
11350,3005046,화랑로,Hwarang-ro,2,서울특별시,노원구,1,103.0,공릉동,,,0,,,Seoul,Nowon-gu,Gongneung-dong,20100520.0,
11350,3005047,노해로,Nohae-ro,0,서울특별시,노원구,2,,,,,0,,,Seoul,Nowon-gu,,20100610.0,
11350,3005047,노해로,Nohae-ro,1,서울특별시,노원구,1,105.0,상계동,,,0,,,Seoul,Nowon-gu,Sanggye-dong,20100610.0,
11350,3005050,공릉로,Gongneung-ro,0,서울특별시,노원구,2,,,,,0,,,Seoul,Nowon-gu,,20100520.0,
11350,3005050,공릉로,Gongneung-ro,1,서울특별시,노원구,1,103.0,공릉동,,,0,,,Seoul,Nowon-gu,Gongneung-dong,20100520.0,
11350,3005050,공릉로,Gongneung-ro,2,서울특별시,노원구,1,104.0,하계동,,,0,,,Seoul,Nowon-gu,Hagye-dong,20100520.0,
11350,3005050,공릉로,Gongneung-ro,3,서울특별시,노원구,1,106.0,중계동,,,0,,,Seoul,Nowon-gu,Junggye-dong,20100520.0,
11350,3107018,월계로,Wolgye-ro,0,서울특별시,노원구,2,,,,,0,,,Seoul,Nowon-gu,,20100610.0,
11350,3107018,월계로,Wolgye-ro,1,서울특별시,노원구,1,102.0,월계동,,,0,,,Seoul,Nowon-gu,Wolgye-dong,20100610.0,
