kaptCode,kaptName,doroJuso,수집지역
A10023990,청년주택 와이엔타워,서울특별시 노원구 공릉동 동일로 1000,노원구
A10027622,노원프레미어스엠코,서울특별시 노원구 공릉동 동일로 986,노원구
A13920706,상계주공4단지,서울특별시 노원구 상계동 동일로 1362,노원구
A13920707,상계주공6단지,서울특별시 노원구 상계동 동일로 1390,노원구
A13971502,상계주공3단지,서울특별시 노원구 상계동 동일로 1389,노원구
A13980512,공릉1단지,서울특별시 노원구 공릉동 동일로 1127,노원구
A13982704,상계주공7단지,서울특별시 노원구 상계동 동일로 1456,노원구
A10023024,노원롯데캐슬시그니처1단지,서울특별시 노원구 상계동 덕릉로 753,노원구
A10023060,노원롯데캐슬시그니처2단지,서울특별시 노원구 상계동 덕릉로 753,노원구
A13922102,중계신안,서울특별시 노원구 중계동 덕릉로 595,노원구
A13971501,상계미도,서울특별시 노원구 상계동 덕릉로 459-18,노원구
A13972601,중계건영2차,서울특별시 노원구 중계동 덕릉로 517,노원구
A13983105,상계주공1단지,서울특별시 노원구 상계동 덕릉로 459-21,노원구
A13985908,중계주공3단지,서울특별시 노원구 중계동 덕릉로 662,노원구
A13986201,중계우성3차,서울특별시 노원구 중계동 덕릉로 613,노원구
A13989701,상계동아불암,서울특별시 노원구 상계동 덕릉로 780,노원구
A10021097,태릉입구역 이니티움,,노원구
A10023478,한일휴니스빌,서울특별시 노원구 공릉동 화랑로 421,노원구
A10024812,월계우남아파트,서울특별시 노원구 월계동 화랑로 355,노원구
A13980407,효성아파트,서울특별시 노원구 공릉동 화랑로 556,노원구
A13974101,수락리버시티 4단지,서울특별시 노원구 상계동 누원로 18,노원구
A13974102,수락리버시티3단지,서울특별시 노원구 상계동 누원로 28,노원구
A13923103,하계청구,서울특별시 노원구 하계동 공릉로 351,노원구
A13924205,공릉동부,서울특별시 노원구 공릉동 공릉로 206,노원구
A13972602,중계중앙하이츠아쿠아,서울특별시 노원구 중계동 공릉로 430,노원구
A13980411,공릉동신,서울특별시 노원구 공릉동 공릉로 213,노원구
A13980415,공릉두산힐스빌,서울특별시 노원구 공릉동 공릉로 126,노원구
A13993503,하계한신,서울특별시 노원구 하계동 공릉로 351,노원구
A13995602,월계사슴1단지,서울특별시 노원구 월계동 월계로 372,노원구
A13920209,상계중앙하이츠2차,서울특별시 노원구 상계동 노원로 428,노원구
A13920804,상계주공10단지,서울특별시 노원구 상계동 노원로 564,노원구
A13921005,상계주공9단지,서울특별시 노원구 상계동 노원로 532,노원구
A13980009,공릉태릉우성,서울특별시 노원구 공릉동 노원로 29,노원구
A13980012,공릉우방4단지,서울특별시 노원구 공릉동 노원로 58,노원구
A13980014,공릉해링턴플레이스(구.효성화운트빌),서울특별시 노원구 공릉동 노원로 62,노원구
A13982701,상계임광아파트,서울특별시 노원구 상계동 노원로 569,노원구
A13986505,중계시영3단지목련,서울특별시 노원구 중계동 노원로 331,노원구
A13993501,하계삼익선경,서울특별시 노원구 하계동 노원로 214,노원구
A13984003,월계삼호4차,서울특별시 노원구 월계동 마들로 127,노원구
A13984004,그랑빌,서울특별시 노원구 월계동 마들로 31,노원구
A13984005,월계시영고층,서울특별시 노원구 월계동 마들로 111,노원구
